,0
Found the perfect hot chocolate at @Fabelle in ITC Maratha. They put pistachio nougat in it instead of marshmallows https://t.co/i2h8u4fqEo,"So glad that you had such a great experience, hope to see you again"
Make her day special. Gift a box of irresistible Ganache  Rich Dark with Apple and Cinnamon by Fabelle. https://t.co/xgUvUdnTzv,Yaay!! So glad that you love us
RT @ITCHotels: .@AmritaOfLife Welcome to #ITCMaratha. We hope you have an exquisite experience at @Fabelle.,Great
"RT @Fabelle: Fabelle at The Chocolate Boutique, ITC Maratha has won Times Food Awards 2017 for Best Confectionery destination in Fine Dinin",Whoa!! Easy on the praise there bub :D
"Fabelle at The Chocolate Boutique, ITC Maratha has won Times Food Awards 2017 for Best Confectionery destination in https://t.co/dMQnN15lYr",Yaay!! So glad that you love us
.@AmritaOfLife Welcome to #ITCMaratha. We hope you have an exquisite experience at @Fabelle.,Wonderful
"@gareebpatrakar @ITCHotels please share your

contact details. Our team will get in touch with
you immediately.","Hi are you sure that you are talking about #Fabelle, but hey since you are here why dont you take a look at #Fabelle anyway"
#Luxury ITC Forays into Luxury Chocolates with Fabelle https://t.co/fWjojkqbDh https://t.co/sQVQQ3m6N2,<3
"RT @SimmSareen: When in doubt, eat chocolate. Read all about my chocolate tasting experience at @Fabelle at https://t.co/xxu1OhiKt0 https:/",<3
"When in doubt, eat chocolate. Read all about my chocolate tasting experience at @Fabelle at https://t.co/xxu1OhiKt0 https://t.co/VEvRHIW4Jx","So glad that you had such a great experience, hope to see you again"
"Here's my review of Fabelle Chocolate Boutique - ITC Gardenia, Residency Road on @Zomato! @ITCHotelsCares  https://t.co/LbPbM7UfmF",Love
@KRPKABzy this is from @Fabelle outlet in @ITCHotels,Wonderful
RT @SimmSareen: Found the perfect hot chocolate at @Fabelle in ITC Maratha. They put pistachio nougat in it instead of marshmallows. How co,:)
#bournewrites The chocolate flower at #ITC  https://t.co/MSp9VtJI5N #Fabelle #ITC  #chocolate https://t.co/kpilHFgNCN,Whoa!! Easy on the praise there bub :D
#Luxury ITC Forays into Luxury Chocolates with Fabelle https://t.co/2fOLdUh8XG https://t.co/baLwcBQk87,"So glad that you had such a great experience, hope to see you again"
